fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
24/11/2021;Palencia;25375;11;2574;504;34120;42.432128,-4.520647
24/11/2021;Salamanca;40672;91;4396;886;37274;40.833333,-6.0
24/11/2021;Segovia;21656;16;2080;384;40004;41.166667,-4.0
24/11/2021;Zamora;18504;14;2215;469;49275;41.75,-6.0
24/11/2021;LeÇün;52939;99;5730;1222;24089;42.666667,-6.0
23/11/2021;LeÇün;52843;119;5725;1220;24089;42.666667,-6.0
23/11/2021;Segovia;21640;27;2079;384;40004;41.166667,-4.0
23/11/2021;Zamora;18490;43;2212;468;49275;41.75,-6.0
23/11/2021;Burgos;53604;26;5025;810;9059;42.383333,-3.666667
23/11/2021;Valladolid;68921;138;8299;1294;47186;41.583333,-4.666667
23/11/2021;Çvila;17828;55;1978;380;5019;40.616092,-4.929031
23/11/2021;Palencia;25365;36;2574;504;34120;42.432128,-4.520647
23/11/2021;Salamanca;40581;45;4396;886;37274;40.833333,-6.0
23/11/2021;Soria;12643;4;1426;296;42173;41.666667,-2.666667
22/11/2021;Çvila;17775;30;1975;380;5019;40.616092,-4.929031
22/11/2021;Palencia;25330;3;2574;504;34120;42.432128,-4.520647
22/11/2021;Segovia;21613;12;2078;384;40004;41.166667,-4.0
22/11/2021;Soria;12640;8;1425;296;42173;41.666667,-2.666667
22/11/2021;LeÇün;52724;20;5723;1220;24089;42.666667,-6.0
22/11/2021;Valladolid;68785;53;8289;1292;47186;41.583333,-4.666667
22/11/2021;Burgos;53578;42;5012;809;9059;42.383333,-3.666667
22/11/2021;Salamanca;40538;10;4392;886;37274;40.833333,-6.0
22/11/2021;Zamora;18447;3;2210;468;49275;41.75,-6.0
21/11/2021;Segovia;21601;8;2078;384;40004;41.166667,-4.0
21/11/2021;Valladolid;68726;43;8288;1291;47186;41.583333,-4.666667
21/11/2021;Zamora;18442;4;2210;468;49275;41.75,-6.0
21/11/2021;LeÇün;52697;30;5723;1220;24089;42.666667,-6.0
21/11/2021;Soria;12637;4;1425;296;42173;41.666667,-2.666667
21/11/2021;Çvila;17743;25;1975;380;5019;40.616092,-4.929031
21/11/2021;Burgos;53529;48;5012;808;9059;42.383333,-3.666667
21/11/2021;Palencia;25323;20;2574;504;34120;42.432128,-4.520647
21/11/2021;Salamanca;40514;30;4392;886;37274;40.833333,-6.0
20/11/2021;Salamanca;40484;96;4392;886;37274;40.833333,-6.0
20/11/2021;Soria;12633;3;1425;296;42173;41.666667,-2.666667
20/11/2021;Çvila;17718;78;1974;380;5019;40.616092,-4.929031
20/11/2021;Zamora;18438;27;2210;468;49275;41.75,-6.0
20/11/2021;Burgos;53481;81;5011;808;9059;42.383333,-3.666667
